LocID,PC1,PC2,percent_Pop2020_500m,percent_URBAN_IMPERVIOUS_500m,percent_OPEN_WATER_500m,percent_ROW_CROPS_500m,percent_GRASSLAND_500m,percent_BARREN_SPARSELY_VEGETATED_500m,percent_EVERGREEN_WOODY_VEGETATION_500m,percent_DECIDUOUS_WOODY_VEGETATION_500m,X,Y
4,0.442677416,-0.862669171,0.001600391,0.454886668,0.005041805,0,0.182063906,0.011826598,0.008992492,0.337188532,-90.54853894,38.65314004
40,-0.285813949,0.002836105,0.001975485,0.311695073,0,0,0.269215789,0,0.006322315,0.412766824,-90.30954012,38.47776468
42,-2.034871862,0.021036941,0.000383164,0.173160939,0.000225316,0,0.275805663,0.001316252,0.009319419,0.540172411,-90.38879931,38.49891026
43,-1.82455433,1.678965149,0.001517387,0.207851459,0,0,0.137757603,0,0.029478296,0.624912642,-90.39921701,38.58666153
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.75923996,38.4943839
46,0.164734233,0.661676246,0.002029216,0.332036536,0,0,0.161400337,0,0.000528309,0.506034817,-90.42528733,38.5730313
47,-0.063695362,0.168762202,0.001847339,0.325462726,0.003678128,0,0.219694597,0.000370486,0.001995025,0.448799039,-90.55288177,38.58706868
5,-2.115124082,1.077539366,0.001373497,0.170719692,0.001304758,0,0.221288312,0,0.026669263,0.580017974,-90.36622123,38.58841968
51,1.148290965,-0.668883974,0.001685158,0.533502698,0.003762332,0,0.215737136,0.002214634,0.003859063,0.240924139,-90.2130982,38.61383407
52,3.131322286,0.150757269,0.003348845,0.684074466,0,0,0.106877924,0,0,0.209047609,-90.28008318,38.59718044
53,-1.108599625,0.422939938,0.001512376,0.211364716,0.015848121,0,0.187454409,0.004250693,0.007405295,0.573676767,-90.45686557,38.59128604
54,2.972254979,0.767486567,0.004304776,0.612083921,0,0,0.071275739,0.002490966,0.004978113,0.309171261,-90.29858657,38.65438224
56,-1.458520787,0.401688526,0.000841567,0.254541404,0.0158599,0,0.182692504,0.0034643,0.017077052,0.52636484,-90.5464091,38.62731665
57,-0.089619596,0.663708008,0.002370679,0.329878321,0.002499271,0,0.183051555,0.001257911,0.011873766,0.471439175,-90.57786898,38.64981255
58,-1.185200388,0.281554829,0.001167292,0.260808907,0,0,0.247246935,0,0.012698914,0.479245245,-90.37710656,38.67022957
59,3.042855251,0.736651246,0.00400166,0.624628026,0,0,0.073690869,0.000437841,0.001112421,0.300130843,-90.25842057,38.56806301
6,-0.625911532,0.318130512,0.001336737,0.279832462,0,0,0.215517604,0,0.002896263,0.501753671,-90.49669276,38.57362394
60.1,-2.024496344,0.665415612,0.000961962,0.176803742,0,0.000442808,0.164636707,0.007310146,0.020520579,0.630286018,-90.00203735,38.6729829
60.2,-1.779341111,0.644175365,0.001066327,0.176063623,0,0,0.184167966,0.005047877,0.014107842,0.620612693,-89.99837732,38.67442759
61,-2.126786821,0.47750422,0.001299698,0.188993428,0.00130479,0,0.261444282,0.002985105,0.028264935,0.517007461,-90.36715649,38.59061565
62,-2.573377661,0.736158396,0.000814693,0.159126089,0,0,0.262294226,0,0.029172374,0.549407311,-90.37894723,38.6617985
63,-1.978848776,0.674159769,0.001607735,0.173473765,5.09179876702093e-05,0,0.276628516,0,0.024828884,0.525017917,-90.37927756,38.58807179
64,-0.998095362,-0.733689875,0.001189982,0.296037041,0.013785976,0,0.272733752,0.007548433,0.013452527,0.396442271,-90.19277074,38.44005588
65,-1.48829368,-0.277819511,0.000212594,0.296462025,0,0,0.268609634,0.001217007,0.014717377,0.418993958,-90.40731787,38.65948757
66,0.593941954,0.62727065,0.001895408,0.438930068,0,0,0.130256128,0,0.007431424,0.42338238,-90.34604415,38.65656991
69,-1.045132353,-0.736463812,0.001357167,0.342874239,0.006784559,0,0.35113946,0.001779849,0.024258396,0.273163497,-90.53694476,38.66437753
7,3.223779425,0.377473606,0.003351254,0.698257297,0.001107327,0,0.060099838,0.001182421,0.001280426,0.238072692,-90.22116351,38.6022543
70,-1.040343158,0.736030898,0.000850379,0.258515248,0,0,0.160377935,0.000271154,0.005894095,0.574941568,-90.43263072,38.59352723
72,1.159759334,0.275654231,0.001839373,0.514443848,0,0,0.126587016,0.000658101,0.004441225,0.353869811,-90.34711695,38.65485012
73,2.038590312,1.104345359,0.003725653,0.520895226,0,0,0.08245188,2.80028613832904e-05,0.006961257,0.389663635,-90.29790034,38.65163582
74,1.167407014,0.151824832,0.002281047,0.480152851,0,0,0.149563902,0.002347239,0.002990056,0.364945952,-90.32594468,38.6185444
76,-0.716780945,-0.891844536,0.001321246,0.286690037,0.004028655,0.000997935,0.356801362,0,0.002815603,0.348666407,-90.29677339,38.82429414
77,-0.057711959,1.504922889,0.002339539,0.324323946,0,0,0.090451551,0,0.011987908,0.573236595,-90.32679528,38.65546468
78,-1.283187397,-0.288945613,0.000949634,0.278026289,0,0,0.275232126,0.003564309,0.014973917,0.428203359,-90.3886761,38.68078351
79,-1.745768153,-1.483015231,0.000979751,0.130580445,0.424221989,0,0.119454546,0.000371542,0.014408701,0.310962777,-89.93430696,38.92496772
8,-0.901357646,0.750135538,0.001238793,0.281082499,0.002812429,0,0.15976864,0.001259164,0.01156037,0.543516899,-90.55725093,38.60584779
80,-1.188602692,1.370510185,0.00152369,0.268856774,0,0,0.13428582,0,0.022470923,0.574386483,-90.35277138,38.59157592
81,2.939845734,0.309539435,0.003489904,0.649636309,0.005895417,0,0.090535131,0.001215484,0.001532401,0.251185256,-90.22022675,38.60127303
82,0.36541495,-2.019575619,0.001634671,0.439315373,0.007521525,0,0.261752383,0.018471531,0.006253509,0.266685678,-90.54173661,38.78612426
83,-3.391693779,0.077413974,8.40146796558453e-05,0.071569051,0.004316572,0,0.345292696,0.000537185,0.024236962,0.554047534,-90.37727026,38.62270581
84,-0.036451802,0.499317201,0.001700847,0.345189187,0,0,0.175780499,0,0.004123535,0.474906778,-90.47480653,38.51870156
86,-0.576449699,0.2318433,0.00152275,0.305744308,0.009739999,0,0.217618322,0.000777927,0.009155599,0.456963845,-90.57546354,38.61414898
88,0.45062142,0.978306935,0.002140251,0.410648323,0,0,0.108053427,0.000250672,0.010249539,0.470798039,-90.01663468,38.53670996
89,0.252884525,0.00715628,0.001339126,0.431292779,0.005071367,0,0.185550423,0.000677201,0.006937488,0.370470744,-90.34840801,38.64271865
91,-1.790208702,-1.676579475,0.001094529,0.234625047,0.031652255,0,0.404143429,0.009110046,0.020569512,0.299899711,-90.20022099,38.45554254
92,0.110777519,-1.230514368,0.0009466,0.428296973,0.013879647,0,0.231929677,0.009027051,0.003600642,0.313266011,-89.89935979,38.58818846
93,0.82883582,0.807344709,0.003618978,0.387068934,0.010585796,0,0.18170246,0.000156572,0.013172416,0.407313823,-90.35375483,38.62563893
94,-0.222513474,-0.337694876,0.001181422,0.366145381,0.007899487,0,0.254313846,0,0.004507991,0.367133294,-90.46782038,38.6928387
96,-0.612992089,-0.653927802,0.001342844,0.285907393,0,0,0.334733455,0,0.000464586,0.378894566,-90.31070889,38.54708428
97,2.997595456,-0.897661618,0.002969531,0.691987231,0,0,0.091332483,0.012926942,0,0.203753344,-90.25817381,38.59773922
99,1.113102079,0.660395363,0.002353411,0.535907024,0.001436994,0,0.117977314,0,0.017480666,0.327198002,-90.23701168,38.61304206
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.09585205,38.45460356
